13-N-11	11	28	2	0	0	0	0	0	0	0	0	52	0	0	0	0
14-O-10	4	37	0	0	0	0	0	0	2	2	0	9	0	3	0	0
11-N-12	20	87	1	0	7	0	0	0	0	0	0	12	0	1	1	0
11-N-15	143	53	0	0	0	0	0	0	0	0	1	3	0	0	0	0
11-O-10	395	207	4	0	16	9	0	0	0	0	1	6	0	0	0	0
11-N-13	425	212	0	1	17	0	2	0	0	0	0	1	12	0	0	0
11-N-4	760	466	9	0	5	4	4	0	0	0	0	14	0	4	0	0
12-N-3/A&B	154	62	1	1	1	0	1	0	0	0	0	22	0	0	0	0
13-N-7	70	49	0	0	0	0	1	0	2	0	0	57	0	2	0	0
12-P-1	97	33	7	0	1	0	1	5	5	0	3	14	0	2	0	0
11-N-1	865	311	35	4	17	0	12	0	0	0	0	53	0	6	0	0
11-N-9	528	191	19	0	0	0	7	0	0	0	0	13	0	0	0	0
11-O-4	206	45	3	2	0	0	3	0	0	0	0	2	0	0	0	0
16-N-6	9	35	0	1	0	0	1	2	0	0	0	16	0	8	0	1
13-N-15	106	31	0	0	1	0	3	2	0	0	0	18	0	1	0	1
13-P-11	73	9	6	0	0	0	2	3	6	2	0	6	0	0	0	0
15-N-6	26	67	10	0	0	0	3	0	0	8	0	24	0	11	2	2
13-N-21	268	36	3	1	3	0	8	4	0	0	1	70	0	0	0	0
14-O-2	18	63	1	0	0	0	3	1	2	0	0	39	0	14	3	0
10-P-1	39	57	0	0	0	0	4	0	0	6	1	22	0	24	6	0
13-N-5	35	9	0	0	0	0	2	0	0	0	0	31	0	2	0	0
12-N-4	48	71	0	0	1	0	6	1	0	0	0	100	0	2	0	0
13-O-10	61	68	2	0	0	0	6	2	8	0	0	34	0	45	0	0
13-P-1	244	28	16	0	1	0	11	14	21	6	1	15	0	3	1	0
12-P-2	30	11	1	1	1	0	2	5	4	2	0	5	0	0	0	0
14-O-8	6	48	0	0	0	0	2	0	0	0	0	3	0	2	0	0
14-O-4	11	24	0	0	1	0	2	0	0	0	0	11	0	1	0	0
13-P-8	83	16	18	0	0	0	8	3	17	3	1	37	0	6	0	0
13-N-16	42	46	1	0	0	0	10	0	3	0	0	67	0	2	0	0
14-N-1	17	13	0	0	0	0	5	0	0	0	0	35	0	8	0	0
12-O-5	91	27	1	0	3	0	9	0	0	0	0	7	0	0	0	0
10-P-4	10	6	2	0	3	2	4	0	3	0	0	6	9	4	1	0
13-N-4	71	45	3	0	0	0	22	0	4	0	0	80	0	16	0	0
12-O-2	40	11	0	0	0	0	6	0	2	1	0	0	0	0	0	0
13-O-11	35	51	0	0	0	0	14	1	2	1	0	12	0	12	0	0
13-O-5	128	77	3	0	0	0	32	2	2	0	0	8	0	2	0	0
13-P-10	30	0	12	2	0	0	15	7	12	1	0	12	0	0	0	0
13-O-7	32	23	1	0	0	0	20	0	1	0	0	2	0	0	0	0
