Assemblage_Name	Type_1	Type_2	Type_3	Type_4	Type_5	Type_6
Assemblage-1	0	30	20	50	0	0
Assemblage-2	10	20	20	50	0	0
Assemblage-3	20	15	25	40	0	0
Assemblage-4	30	10	30	30	0	0
Assemblage-5	40	5	40	15	0	0
Assemblage-A6	50	0	40	10	0	0
Assemblage-A7	55	0	35	5	5	0
Assemblage-A8	45	0	30	5	20	0
Assemblage-A9	40	0	20	0	40	0
Assemblage-A10	38	0	7	0	55	0
Assemblage-B11	44	4	35	12	0	5
Assemblage-B12	45	3	30	10	0	12
Assemblage-B13	43	2	25	8	2	20
Assemblage-B14	40	0	20	5	5	30
Assemblage-B15	36	0	10	4	10	40
